epoch,pgd_base_before,pgd_base_after,delta_base,applied_add,applied_del,deg_hist_jsd,acc_usa,acc_brazil
1,0.21148869395256042,0.1983460783958435,-0.013142615556716919,48,48,0.05746267021223404,0.6260504201680672,0.6666666666666666
2,0.01759093999862671,0.029758542776107788,0.012167602777481079,48,48,0.05515599566670809,0.6512605042016807,0.7037037037037037
3,-0.0564473532140255,-0.05697731673717499,-0.0005299635231494904,48,48,0.047189494021242846,0.6638655462184874,0.6666666666666666
4,-0.08461081981658936,-0.08018235117197037,0.004428468644618988,48,48,0.05753307428434677,0.6512605042016807,0.6296296296296297
5,-0.08333230018615723,-0.0711095929145813,0.012222707271575928,48,48,0.05508066923458705,0.6680672268907563,0.5925925925925926
6,-0.06962946057319641,-0.06515172123908997,0.004477739334106445,48,48,0.04683429591445919,0.6890756302521008,0.6296296296296297
7,-0.031844139099121094,-0.03790922462940216,-0.006065085530281067,48,48,0.05705481585087858,0.6638655462184874,0.5925925925925926
8,-0.10602984577417374,-0.11671160161495209,-0.01068175584077835,48,48,0.04910916708600102,0.6512605042016807,0.6296296296296297
9,-0.0993538349866867,-0.11378242075443268,-0.014428585767745972,48,48,0.05296806083807011,0.6554621848739496,0.6296296296296297
0,3.7361230850219727,3.858867883682251,0.12274479866027832,48,48,0.04989908384878754,0.6176470588235294,0.6296296296296297
1,0.20193874835968018,0.2609363794326782,0.05899763107299805,48,48,0.05608266916365397,0.6302521008403361,0.7037037037037037
2,-0.0705438181757927,-0.07011986523866653,0.00042395293712615967,48,48,0.05651471031946992,0.634453781512605,0.7037037037037037
3,0.06249239295721054,0.062032632529735565,-0.0004597604274749756,48,48,0.05471286026282984,0.634453781512605,0.6666666666666666
4,0.01127753034234047,0.003686005249619484,-0.007591525092720985,48,48,0.050210448146340125,0.6260504201680672,0.7407407407407407
5,-0.020689427852630615,-0.030430719256401062,-0.009741291403770447,48,48,0.04642667312305668,0.6386554621848739,0.7037037037037037
6,-0.0696496069431305,-0.08398930728435516,-0.01433970034122467,48,48,0.04943008660240347,0.6386554621848739,0.7037037037037037
7,-0.08672995865345001,-0.10386542975902557,-0.01713547110557556,48,48,0.04218589992966587,0.6386554621848739,0.6666666666666666
8,-0.105648472905159,-0.10518611967563629,0.0004623532295227051,48,48,0.04417347142309695,0.6428571428571429,0.6296296296296297
9,-0.05624540150165558,-0.05474559962749481,0.0014998018741607666,48,48,0.051348484769684885,0.6428571428571429,0.6296296296296297
0,11.785863876342773,11.540910720825195,-0.24495315551757812,48,48,0.06030531621111092,0.5882352941176471,0.7407407407407407
1,0.08084800839424133,0.11272653937339783,0.031878530979156494,48,48,0.048157152622580315,0.6134453781512605,0.7037037037037037
2,-0.07415221631526947,-0.0738552063703537,0.0002970099449157715,48,48,0.045388496809542364,0.6050420168067226,0.7407407407407407
3,-0.014212669804692268,-0.015634242445230484,-0.0014215726405382156,48,48,0.05724852061685585,0.6302521008403361,0.7037037037037037
4,-0.013985870406031609,-0.01994965597987175,-0.005963785573840141,48,48,0.049017966049094065,0.6176470588235294,0.7407407407407407
5,-0.07130298018455505,-0.07382850348949432,-0.00252552330493927,48,48,0.0521200830030914,0.634453781512605,0.7037037037037037
6,-0.03186050057411194,-0.045862555503845215,-0.014002054929733276,48,48,0.051831890130308415,0.6176470588235294,0.7407407407407407
7,-0.13437816500663757,-0.13262654840946198,0.0017516165971755981,48,48,0.05411303752834206,0.6134453781512605,0.7407407407407407
8,-0.14274777472019196,-0.14081069827079773,0.001937076449394226,48,48,0.05278492360140778,0.6260504201680672,0.7407407407407407
9,-0.14694635570049286,-0.13218410313129425,0.014762252569198608,48,48,0.042723538028395514,0.6302521008403361,0.7407407407407407
