timestamp,run_tag,run_idx,data_id,data_src,file_path,label_path,model_type,model_id,feature_mode,bypass_encoder,residualize_flag,probe_degree_flag,n_hidden,n_layers,n_dgi_epochs,n_classifier_epochs,feat_mean,feat_std,spearman_deg_label,probe_R2_logdeg,probe_acc_deg_quartile,acc_Z,acc_Z_perp,acc_drop,baseline_deg_bin
2025-09-21 17:18:04,normal,21,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.756925211883592,0.9930838942527771,1.0,0.55,,,0.5625
2025-09-21 17:18:41,normal,22,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8294868821705427,0.9907092452049255,1.0,0.5625,,,0.5375
2025-09-21 17:19:18,normal,23,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.812624522044385,0.9946913719177246,1.0,0.6,,,0.525
2025-09-21 17:19:57,normal,24,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7965480112104754,0.9943836331367493,1.0,0.6625,,,0.575
2025-09-21 17:20:38,normal,25,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7743884141630059,0.9915981292724609,1.0,0.5875,,,0.5625
2025-09-21 17:21:16,normal,26,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8006570557281739,0.9933852553367615,1.0,0.5875,,,0.4875
2025-09-21 17:21:56,normal,27,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8109921248007455,0.9895160794258118,1.0,0.4875,,,0.5875
2025-09-21 17:22:32,normal,28,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7531067507291626,0.9934264421463013,1.0,0.5875,,,0.5
2025-09-21 17:23:11,normal,29,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7982159136107644,0.99305260181427,1.0,0.6,,,0.5
2025-09-21 17:23:48,normal,30,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8549038842603115,0.9917240738868713,0.9949874877929688,0.525,,,0.45
2025-09-21 17:24:22,normal,31,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7556255614618929,0.9920094609260559,1.0,0.5375,,,0.475
2025-09-21 17:24:57,normal,32,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8183526656096374,0.9945961236953735,1.0,0.625,,,0.5
2025-09-21 17:25:32,normal,33,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7750002836383173,0.9917537569999695,1.0,0.575,,,0.5625
2025-09-21 17:26:01,normal,34,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7853676564898393,0.9882771372795105,0.9949874877929688,0.5875,,,0.5125
2025-09-21 17:26:38,normal,35,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7979567751742448,0.990980327129364,1.0,0.6625,,,0.65
